,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,CallDurationMinutes
0,32,management,single,tertiary,0,1218,1,0,telephone,28,jan,2,-1,0,none,13:45:20,13:46:30,1.0
1,32,blue-collar,married,primary,0,1156,1,0,none,26,may,5,-1,0,none,14:49:03,14:52:08,3.0
2,29,management,single,tertiary,0,637,1,0,cellular,3,jun,1,119,1,failure,16:30:24,16:36:04,5.0
3,25,student,single,primary,0,373,1,0,cellular,11,may,2,-1,0,none,12:06:43,12:20:22,13.0
4,30,management,married,tertiary,0,2694,0,0,cellular,3,jun,1,-1,0,none,14:35:44,14:38:56,3.0
5,32,technician,single,tertiary,0,1625,0,0,cellular,22,may,1,109,1,failure,14:58:08,15:11:24,13.0
6,37,admin.,single,tertiary,0,1000,1,0,cellular,17,mar,1,-1,0,none,13:00:02,13:03:17,3.0
7,35,management,divorced,tertiary,0,538,1,0,none,12,may,4,-1,0,none,15:39:43,15:40:49,1.0
8,30,admin.,married,secondary,0,187,1,0,cellular,18,nov,1,-1,0,none,12:20:56,12:22:42,1.0
9,30,blue-collar,married,secondary,0,3,1,1,cellular,12,may,2,-1,0,none,09:22:20,09:27:46,5.0
10,27,services,single,secondary,0,0,0,0,cellular,1,jun,1,-1,0,none,13:04:28,13:07:29,3.0
11,53,blue-collar,married,primary,1,-462,0,0,cellular,29,jan,1,-1,0,none,16:45:50,16:53:40,7.0
12,44,technician,married,secondary,0,2776,1,0,cellular,27,jan,1,-1,0,none,16:19:41,16:31:22,11.0
13,38,self-employed,divorced,secondary,0,2674,1,0,none,19,jun,2,-1,0,none,10:29:56,10:32:39,2.0
14,25,services,single,,0,2022,0,0,cellular,29,jul,8,97,12,other,14:15:09,14:19:45,4.0
15,61,management,single,tertiary,0,2,0,0,cellular,12,aug,1,114,3,failure,16:18:48,16:20:59,2.0
16,34,admin.,single,secondary,0,69,1,0,telephone,6,may,3,362,4,other,11:48:45,11:50:17,1.0
17,46,management,married,tertiary,0,7331,0,0,cellular,11,sep,4,95,2,other,11:23:26,11:34:24,10.0
