,Category,Rating,Reviews,Size,Installs,Price,Content Rating,Genres,Rated 4.4 or more
0,0,4.1,159.0,19.0,10000.0,0.0,0.0,0,-1
1,0,3.9,967.0,14.0,500000.0,0.0,0.0,1,-1
2,0,4.7,87510.0,8.7,5000000.0,0.0,0.0,0,1
3,0,4.5,215644.0,25.0,50000000.0,0.0,1.0,0,1
4,0,4.3,967.0,2.8,100000.0,0.0,0.0,2,-1
5,0,4.4,167.0,5.6,50000.0,0.0,0.0,0,1
6,0,3.8,178.0,19.0,50000.0,0.0,0.0,0,-1
7,0,4.1,36815.0,29.0,1000000.0,0.0,0.0,0,-1
8,0,4.4,13791.0,33.0,1000000.0,0.0,0.0,0,1
9,0,4.7,121.0,3.1,10000.0,0.0,0.0,2,1
10,0,4.4,13880.0,28.0,1000000.0,0.0,0.0,0,1
11,0,4.4,8788.0,12.0,1000000.0,0.0,0.0,0,1
12,0,4.2,44829.0,20.0,10000000.0,0.0,1.0,0,-1
13,0,4.6,4326.0,21.0,100000.0,0.0,0.0,0,1
14,0,4.4,1518.0,37.0,100000.0,0.0,0.0,0,1
15,0,3.2,55.0,2.7,5000.0,0.0,0.0,0,-1
16,0,4.7,3632.0,5.5,500000.0,0.0,0.0,0,1
17,0,4.5,27.0,17.0,10000.0,0.0,0.0,0,1
18,0,4.3,194216.0,39.0,5000000.0,0.0,0.0,0,-1
19,0,4.6,224399.0,31.0,10000000.0,0.0,0.0,0,1
20,0,4.0,450.0,14.0,100000.0,0.0,0.0,0,-1
21,0,4.1,654.0,12.0,100000.0,0.0,0.0,0,-1
22,0,4.7,7699.0,4.2,500000.0,0.0,2.0,0,1
24,0,4.7,118.0,23.0,50000.0,0.0,0.0,0,1
25,0,4.8,192.0,6.0,10000.0,0.0,0.0,0,1
26,0,4.7,20260.0,25.0,500000.0,0.0,0.0,2,1
27,0,4.1,203.0,6.1,100000.0,0.0,0.0,0,-1
28,0,3.9,136.0,4.6,10000.0,0.0,0.0,0,-1
29,0,4.1,223.0,4.2,100000.0,0.0,0.0,0,-1
30,0,4.2,1120.0,9.2,100000.0,0.0,0.0,0,-1
31,0,4.1,227.0,5.2,50000.0,0.0,0.0,0,-1
32,0,4.5,5035.0,11.0,100000.0,0.0,0.0,0,1
33,0,4.2,1015.0,11.0,100000.0,0.0,0.0,0,-1
34,0,4.7,353.0,4.2,10000.0,0.0,1.0,0,1
35,0,3.8,564.0,9.2,100000.0,0.0,0.0,0,-1
36,0,4.7,8145.0,24.0,500000.0,0.0,0.0,2,1
37,0,4.1,36639.0,0.0,5000000.0,0.0,0.0,0,-1
38,0,4.7,158.0,11.0,10000.0,0.0,0.0,0,1
39,0,4.0,591.0,9.4,500000.0,0.0,0.0,0,-1
40,0,4.2,117.0,15.0,10000.0,0.0,0.0,0,-1
41,0,4.5,176.0,10.0,100000.0,0.0,0.0,0,1
42,0,4.4,295221.0,0.0,10000000.0,0.0,0.0,0,1
43,0,3.8,2206.0,1.2,100000.0,0.0,0.0,2,-1
44,0,4.2,26.0,12.0,10000.0,0.0,0.0,0,-1
45,0,4.7,174531.0,24.0,10000000.0,0.0,0.0,0,1
46,0,4.6,1070.0,26.0,100000.0,0.0,0.0,0,1
47,0,4.2,85.0,8.0,100000.0,0.0,0.0,0,-1
48,0,4.3,845.0,7.9,100000.0,0.0,0.0,0,-1
49,1,4.2,367.0,25.0,100000.0,0.0,0.0,3,-1
50,1,4.0,1598.0,56.0,1000000.0,0.0,0.0,3,-1
51,1,3.8,284.0,57.0,100000.0,0.0,0.0,3,-1
52,1,4.6,17057.0,0.0,1000000.0,0.0,0.0,3,1
53,1,3.9,129.0,35.0,100000.0,0.0,0.0,3,-1
54,1,4.3,542.0,33.0,100000.0,0.0,0.0,3,-1
55,1,4.9,10479.0,33.0,100000.0,0.0,0.0,3,1
56,1,4.4,805.0,5.6,50000.0,0.0,0.0,3,1
57,1,4.2,129.0,54.0,100000.0,0.0,0.0,3,-1
58,1,4.0,1403.0,0.0,100000.0,0.0,0.0,3,-1
59,1,3.9,3971.0,3.6,100000.0,0.0,0.0,3,-1
60,1,4.6,534.0,5.7,10000.0,0.0,0.0,3,1
61,1,4.9,7774.0,17.0,100000.0,0.0,0.0,3,1
62,1,4.3,38846.0,8.6,1000000.0,0.0,0.0,3,-1
63,1,4.6,2431.0,2.4,100000.0,0.0,0.0,3,1
64,1,4.9,6090.0,27.0,100000.0,0.0,0.0,3,1
65,1,3.9,295.0,2.7,10000.0,0.0,0.0,3,-1
66,1,4.0,190.0,2.5,50000.0,0.0,0.0,3,-1
67,1,4.3,40211.0,0.0,5000000.0,0.0,0.0,3,-1
68,1,3.9,356.0,0.0,100000.0,0.0,0.0,3,-1
69,1,4.2,52530.0,7.0,5000000.0,0.0,0.0,3,-1
70,1,4.8,116986.0,35.0,5000000.0,0.0,0.0,3,1
71,1,3.6,1379.0,16.0,500000.0,0.0,0.0,3,-1
72,1,4.2,271920.0,16.0,10000000.0,0.0,1.0,3,-1
73,1,4.8,736.0,0.0,100000.0,0.0,0.0,3,1
74,1,4.8,7021.0,17.0,500000.0,0.0,0.0,3,1
75,1,4.6,197.0,3.4,50000.0,0.0,0.0,3,1
76,1,4.5,737.0,8.9,100000.0,0.0,0.0,3,1
77,1,4.3,3574.0,3.9,1000000.0,0.0,2.0,3,-1
78,1,4.5,994.0,2.9,100000.0,0.0,0.0,3,1
79,1,4.9,197136.0,38.0,1000000.0,0.0,0.0,3,1
80,1,3.9,142.0,32.0,50000.0,0.0,0.0,3,-1
81,1,4.4,15168.0,37.0,1000000.0,0.0,0.0,3,1
82,1,4.0,2155.0,15.0,500000.0,0.0,0.0,3,-1
83,1,4.3,138.0,5.4,100000.0,0.0,0.0,3,-1
84,1,3.7,5414.0,18.0,1000000.0,0.0,0.0,3,-1
85,1,4.4,21777.0,0.0,1000000.0,0.0,0.0,3,1
86,1,4.3,348.0,38.0,100000.0,0.0,0.0,3,-1
87,1,3.2,250.0,1.1,100000.0,0.0,0.0,3,-1
88,1,4.6,13372.0,0.0,1000000.0,0.0,0.0,3,1
89,1,4.6,7880.0,0.0,100000.0,0.0,0.0,3,1
90,1,4.5,3617.0,7.9,100000.0,0.0,0.0,3,1
91,1,3.7,4806.0,35.0,1000000.0,0.0,0.0,3,-1
92,1,4.6,65786.0,0.0,1000000.0,0.0,0.0,3,1
93,1,4.6,31433.0,17.0,1000000.0,0.0,0.0,3,1
94,1,4.6,5097.0,19.0,1000000.0,0.0,0.0,3,1
95,1,4.0,1754.0,14.0,500000.0,0.0,0.0,3,-1
96,1,4.4,2680.0,2.2,500000.0,0.0,0.0,3,1
97,1,4.0,1288.0,4.5,100000.0,0.0,0.0,3,-1
98,2,4.7,18900.0,17.0,500000.0,0.0,0.0,4,1
99,2,4.9,49790.0,14.0,1000000.0,0.0,0.0,4,1
100,2,4.7,1150.0,9.8,100000.0,0.0,0.0,4,1
101,2,3.9,1739.0,21.0,500000.0,0.0,0.0,4,-1
102,2,3.9,32090.0,0.0,1000000.0,0.0,0.0,4,-1
103,2,4.2,2225.0,52.0,500000.0,0.0,0.0,4,-1
104,2,4.6,4369.0,14.0,100000.0,0.0,0.0,4,1
105,2,4.3,8572.0,25.0,1000000.0,0.0,0.0,4,-1
106,2,4.7,964.0,9.0,50000.0,0.0,0.0,4,1
107,2,4.7,42050.0,0.0,1000000.0,0.0,0.0,4,1
108,2,4.8,104.0,12.0,10000.0,0.0,0.0,4,1
109,2,4.2,17934.0,0.0,1000000.0,0.0,0.0,4,-1
110,2,4.3,601.0,35.0,100000.0,0.0,0.0,4,-1
111,2,4.5,36.0,6.7,10000.0,0.0,0.0,4,1
112,2,4.1,187.0,30.0,50000.0,0.0,1.0,4,-1
114,2,4.2,30.0,2.9,10000.0,0.0,0.0,4,-1
115,2,4.5,134.0,17.0,10000.0,0.0,0.0,4,1
116,2,4.4,74.0,2.9,10000.0,0.0,0.0,4,1
117,2,4.0,113715.0,0.0,10000000.0,0.0,0.0,4,-1
118,2,4.1,3595.0,0.0,500000.0,0.0,0.0,4,-1
119,2,4.1,9315.0,2.6,1000000.0,0.0,0.0,4,-1
120,2,4.4,75.0,4.2,50000.0,0.0,0.0,4,1
121,2,4.6,38.0,7.1,10000.0,0.0,0.0,4,1
122,2,4.5,26834.0,57.0,1000000.0,0.0,0.0,4,1
124,2,3.9,2277.0,22.0,500000.0,0.0,0.0,4,-1
125,2,4.4,2280.0,24.0,500000.0,0.0,0.0,4,1
127,2,4.6,184.0,21.0,10000.0,0.0,0.0,4,1
128,2,3.8,9.0,3.4,5000.0,0.0,0.0,4,-1
131,2,4.0,364.0,6.4,100000.0,0.0,0.0,4,-1
132,2,4.3,18.0,3.2,5000.0,0.0,0.0,4,-1
133,2,4.5,473.0,8.2,100000.0,0.0,3.0,4,1
135,2,4.1,66.0,2.9,10000.0,0.0,0.0,4,-1
136,2,3.7,3871.0,23.0,1000000.0,0.0,0.0,4,-1
137,2,4.7,257.0,4.6,50000.0,0.0,0.0,4,1
138,2,4.2,62.0,3.1,10000.0,0.0,0.0,4,-1
139,3,4.6,2914724.0,0.0,100000000.0,0.0,1.0,5,1
140,3,4.5,1857.0,4.9,50000.0,0.0,0.0,5,1
141,3,4.6,4478.0,9.5,100000.0,0.0,2.0,5,1
142,3,4.4,577550.0,0.0,10000000.0,0.0,0.0,5,1
143,3,4.2,814080.0,0.0,100000000.0,0.0,1.0,5,-1
144,3,4.5,246315.0,0.0,10000000.0,0.0,0.0,5,1
145,3,4.5,454060.0,0.0,10000000.0,0.0,0.0,5,1
146,3,4.5,155446.0,0.0,10000000.0,0.0,1.0,5,1
147,3,4.5,418.0,4.2,100000.0,0.0,0.0,5,1
148,3,4.4,22486.0,5.4,1000000.0,0.0,1.0,5,1
149,3,4.5,203130.0,0.0,10000000.0,0.0,0.0,5,1
150,3,4.6,1435.0,2.8,500000.0,0.0,0.0,5,1
151,3,4.8,116507.0,5.0,1000000.0,0.0,1.0,5,1
152,3,3.9,1433233.0,0.0,1000000000.0,0.0,1.0,5,-1
153,3,4.6,90468.0,5.9,5000000.0,0.0,0.0,5,1
154,3,4.2,860.0,13.0,100000.0,0.0,0.0,5,-1
155,3,4.1,363934.0,7.1,10000000.0,0.0,0.0,5,-1
156,3,4.7,967.0,6.7,500000.0,0.0,0.0,5,1
157,3,4.2,87873.0,0.0,10000000.0,0.0,1.0,5,-1
158,3,4.3,17506.0,17.0,1000000.0,0.0,0.0,5,-1
159,3,3.3,1862.0,19.0,1000000.0,0.0,0.0,5,-1
160,3,4.6,2084.0,6.7,500000.0,0.0,0.0,5,1
161,3,4.8,47303.0,21.0,1000000.0,0.0,0.0,5,1
162,3,4.7,19080.0,0.0,500000.0,0.0,0.0,5,1
164,3,4.1,85842.0,37.0,5000000.0,0.0,0.0,5,-1
165,3,4.6,7831.0,15.0,100000.0,0.0,1.0,5,1
166,3,4.1,91615.0,23.0,5000000.0,0.0,3.0,5,-1
167,3,4.6,4620.0,19.0,500000.0,0.0,0.0,5,1
168,3,4.7,21336.0,23.0,1000000.0,0.0,0.0,5,1
169,3,4.5,26875.0,73.0,500000.0,0.0,0.0,5,1
170,3,3.9,1778.0,4.9,500000.0,0.0,3.0,5,-1
171,3,4.4,2709.0,6.8,1000000.0,0.0,0.0,5,1
172,3,4.3,64513.0,0.0,5000000.0,0.0,0.0,5,-1
173,3,4.2,8342.0,0.0,10000000.0,0.0,0.0,5,-1
174,3,4.5,527.0,2.9,100000.0,0.0,0.0,5,1
175,3,4.4,1322.0,3.5,100000.0,0.0,0.0,5,1
176,3,3.4,1680.0,4.0,100000.0,0.0,0.0,5,-1
177,3,4.9,2739.0,21.0,50000.0,0.0,0.0,5,1
178,3,4.6,1065.0,2.3,500000.0,0.0,0.0,5,1
179,3,4.4,233757.0,0.0,10000000.0,0.0,0.0,5,1
181,3,4.4,8788.0,10.0,1000000.0,0.0,0.0,5,1
182,3,4.4,51269.0,6.1,1000000.0,0.0,0.0,5,1
183,3,4.4,30105.0,2.1,1000000.0,0.0,0.0,5,1
184,3,3.5,156.0,42.0,500000.0,0.0,0.0,5,-1
186,3,4.4,341157.0,30.0,10000000.0,0.0,2.0,5,1
187,4,4.1,16129.0,0.0,10000000.0,0.0,0.0,6,-1
188,4,4.3,674730.0,0.0,50000000.0,0.0,0.0,6,-1
189,4,4.4,1254730.0,0.0,10000000.0,0.0,0.0,6,1
190,4,4.3,85185.0,29.0,5000000.0,0.0,0.0,6,-1
