@relation svm

@attribute Reviews numeric
@attribute 'Rated 4.4 or more' {N,Y}

@data
159,N
967,N
87510,Y
215644,Y
967,N
167,Y
178,N
36815,N
13791,Y
121,Y
13880,Y
8788,Y
44829,N
4326,Y
1518,Y
55,N
3632,Y
27,Y
194216,N
224399,Y
450,N
654,N
7699,Y
118,Y
192,Y
20260,Y
203,N
136,N
223,N
1120,N
227,N
5035,Y
1015,N
353,Y
564,N
8145,Y
36639,N
158,Y
591,N
117,N
176,Y
295221,Y
2206,N
26,N
174531,Y
1070,Y
85,N
845,N
367,N
1598,N
284,N
17057,Y
129,N
542,N
10479,Y
805,Y
129,N
1403,N
3971,N
534,Y
7774,Y
38846,N
2431,Y
6090,Y
295,N
190,N
40211,N
356,N
52530,N
116986,Y
1379,N
271920,N
736,Y
7021,Y
197,Y
737,Y
3574,N
994,Y
197136,Y
142,N
15168,Y
2155,N
138,N
5414,N
21777,Y
348,N
250,N
13372,Y
7880,Y
3617,Y
4806,N
65786,Y
31433,Y
5097,Y
1754,N
2680,Y
1288,N
18900,Y
49790,Y
1150,Y
1739,N
32090,N
2225,N
4369,Y
8572,N
964,Y
42050,Y
104,Y
17934,N
601,N
36,Y
187,N
30,N
134,Y
74,Y
113715,N
3595,N
9315,N
75,Y
38,Y
26834,Y
2277,N
2280,Y
184,Y
9,N
364,N
18,N
473,Y
66,N
3871,N
257,Y
62,N
2914724,Y
1857,Y
4478,Y
577550,Y
814080,N
246315,Y
454060,Y
155446,Y
418,Y
22486,Y
203130,Y
1435,Y
116507,Y
1433233,N
90468,Y
860,N
363934,N
967,Y
87873,N
17506,N
1862,N
2084,Y
47303,Y
19080,Y
85842,N
7831,Y
91615,N
4620,Y
21336,Y
26875,Y
1778,N
2709,Y
64513,N
8342,N
527,Y
1322,Y
1680,N
2739,Y
1065,Y
233757,Y
8788,Y
51269,Y
30105,Y
156,N
341157,Y
16129,N
674730,N
1254730,Y
85185,N
32584,N
217730,N
70991,Y
1002861,N
16589,N
148945,Y
4458,Y
62272,Y
8941,N
46353,N
1279184,N
88073,N
67000,Y
159872,N
30847,N
188841,Y
11622,N
95912,Y
4034,N
45964,N
14955,N
6903,N
31614,Y
23055,N
19023,N
207372,Y
1225,Y
380837,Y
10600,N
74359,Y
822,Y
80805,N
2287,Y
4162,Y
14760,N
23243,N
8978,N
80805,N
42492,Y
286897,Y
103755,Y
46505,N
11442,Y
10295,Y
159872,N
296,N
29313,N
70991,Y
51507,Y
1802,N
1383,N
23175,N
5868,N
2111,N
5448,N
4159,Y
20815,N
78662,Y
7149,N
3079,Y
5800,Y
6989,N
16422,N
108741,Y
31614,Y
624,N
1661,N
97702,N
308,N
6989,N
5211,N
1058,N
78172,N
159872,N
296,N
29313,N
70991,Y
51507,Y
1802,N
1383,N
23175,N
5868,N
2111,N
5448,N
4159,Y
20815,N
78662,Y
7149,N
3079,Y
5800,Y
6989,N
16422,N
8978,N
80804,N
42492,Y
286897,Y
103755,Y
46505,N
11442,Y
10295,Y
217730,N
1002859,N
51510,Y
413,Y
23175,N
1013635,Y
24005,Y
57106,Y
2249,Y
516,Y
834,N
1010,N
238970,Y
302,Y
438,Y
73,Y
39,Y
144,Y
2181,N
93965,N
1446,N
12088,N
314,Y
25671,N
15194,N
22551,N
29839,Y
279,Y
564387,Y
1677,Y
757,Y
115,N
125,N
9952,Y
18814,Y
21,N
15,Y
51981,Y
3596,Y
1006,Y
5968,Y
4895,Y
56642847,N
69119316,Y
125257,N
9642995,N
1429035,Y
4604324,N
3419249,N
11334799,N
158679,N
3075028,Y
4187998,N
659395,N
4785892,N
66602,N
30209,N
36901,N
5149854,Y
192948,N
99559,N
437674,Y
13698,N
2473509,Y
20769,N
36880,Y
171031,N
63543,Y
45487,N
615381,Y
2451083,N
33053,N
5387333,N
3648120,Y
136662,Y
42370,N
781810,N
3128250,Y
2083237,Y
541389,N
46702,N
2939,Y
13761,N
258556,N
40751,N
17712922,Y
25021,N
27187,N
69119316,Y
56646578,N
4785988,N
122498,N
11334973,N
3419433,N
132014,N
83239,N
594728,N
5387446,N
10484169,N
3128509,Y
2451093,N
171031,N
2876500,Y
781810,N
28238,N
335646,N
350154,N
349384,Y
346982,N
244863,N
10790289,N
330761,Y
37320,N
12842860,N
2546527,N
36893,Y
15880,N
346980,N
9643041,N
3075118,Y
2264916,Y
541389,N
2473693,Y
42925,N
5150471,Y
2511130,Y
3648480,Y
17714850,Y
13100,N
27156,N
55098,N
1133501,N
12578,N
10965,N
18247,N
190613,N
125232,N
83239,N
11334973,N
72065,N
27540,Y
104990,N
177703,Y
17529,N
177263,N
237468,Y
32254,Y
483565,Y
552441,Y
60308,N
457283,Y
93825,Y
32283,N
15287,N
205739,Y
14873,N
7820209,Y
9498,N
4604483,N
4188142,N
88427,N
305218,Y
183374,Y
20901,N
122595,N
124346,N
837842,Y
255,N
41420,N
44706,N
23707,N
3419513,N
4785988,N
594728,N
11335255,N
10484169,N
5387446,N
29208,N
191032,Y
350154,N
244863,N
10790289,N
2546527,N
1545,N
57,N
2,N
516801,N
285726,N
76646,N
2556,N
7779,N
61637,Y
12632,Y
313724,N
48845,N
305708,N
31320,N
172460,Y
4195,N
11633,N
10212,N
37053,N
667,Y
13202,N
28671,N
1157,N
212626,Y
222888,Y
2067,N
1643,N
105,N
3414,N
42194,N
11806,N
1999,N
22544,N
97684,N
2519,N
1146,N
13046,Y
