@relation knn

@attribute Category numeric
@attribute Reviews numeric
@attribute Size numeric
@attribute Genres numeric

@data
0,159,19,0
0,967,14,1
0,87510,8.7,0
0,215644,25,0
0,967,2.8,2
0,167,5.6,0
0,178,19,0
0,36815,29,0
0,13791,33,0
0,121,3.1,2
0,13880,28,0
0,8788,12,0
0,44829,20,0
0,4326,21,0
0,1518,37,0
0,55,2.7,0
0,3632,5.5,0
0,27,17,0
0,194216,39,0
0,224399,31,0
0,450,14,0
0,654,12,0
0,7699,4.2,0
0,118,23,0
0,192,6,0
0,20260,25,2
0,203,6.1,0
0,136,4.6,0
0,223,4.2,0
0,1120,9.2,0
0,227,5.2,0
0,5035,11,0
0,1015,11,0
0,353,4.2,0
0,564,9.2,0
0,8145,24,2
0,36639,0,0
0,158,11,0
0,591,9.4,0
0,117,15,0
0,176,10,0
0,295221,0,0
0,2206,1.2,2
0,26,12,0
0,174531,24,0
0,1070,26,0
0,85,8,0
0,845,7.9,0
1,367,25,3
1,1598,56,3
1,284,57,3
1,17057,0,3
1,129,35,3
1,542,33,3
1,10479,33,3
1,805,5.6,3
1,129,54,3
1,1403,0,3
1,3971,3.6,3
1,534,5.7,3
1,7774,17,3
1,38846,8.6,3
1,2431,2.4,3
1,6090,27,3
1,295,2.7,3
1,190,2.5,3
1,40211,0,3
1,356,0,3
1,52530,7,3
1,116986,35,3
1,1379,16,3
1,271920,16,3
1,736,0,3
1,7021,17,3
1,197,3.4,3
1,737,8.9,3
1,3574,3.9,3
1,994,2.9,3
1,197136,38,3
1,142,32,3
1,15168,37,3
1,2155,15,3
1,138,5.4,3
1,5414,18,3
1,21777,0,3
1,348,38,3
1,250,1.1,3
1,13372,0,3
1,7880,0,3
1,3617,7.9,3
1,4806,35,3
1,65786,0,3
1,31433,17,3
1,5097,19,3
1,1754,14,3
1,2680,2.2,3
1,1288,4.5,3
2,18900,17,4
2,49790,14,4
2,1150,9.8,4
2,1739,21,4
2,32090,0,4
2,2225,52,4
2,4369,14,4
2,8572,25,4
2,964,9,4
2,42050,0,4
2,104,12,4
2,17934,0,4
2,601,35,4
2,36,6.7,4
2,187,30,4
2,30,2.9,4
2,134,17,4
2,74,2.9,4
2,113715,0,4
2,3595,0,4
2,9315,2.6,4
2,75,4.2,4
2,38,7.1,4
2,26834,57,4
2,2277,22,4
2,2280,24,4
2,184,21,4
2,9,3.4,4
2,364,6.4,4
2,18,3.2,4
2,473,8.2,4
2,66,2.9,4
2,3871,23,4
2,257,4.6,4
2,62,3.1,4
3,2914724,0,5
3,1857,4.9,5
3,4478,9.5,5
3,577550,0,5
3,814080,0,5
3,246315,0,5
3,454060,0,5
3,155446,0,5
3,418,4.2,5
3,22486,5.4,5
3,203130,0,5
3,1435,2.8,5
3,116507,5,5
3,1433233,0,5
3,90468,5.9,5
3,860,13,5
3,363934,7.1,5
3,967,6.7,5
3,87873,0,5
3,17506,17,5
3,1862,19,5
3,2084,6.7,5
3,47303,21,5
3,19080,0,5
3,85842,37,5
3,7831,15,5
3,91615,23,5
3,4620,19,5
3,21336,23,5
3,26875,73,5
3,1778,4.9,5
3,2709,6.8,5
3,64513,0,5
3,8342,0,5
3,527,2.9,5
3,1322,3.5,5
3,1680,4,5
3,2739,21,5
3,1065,2.3,5
3,233757,0,5
3,8788,10,5
3,51269,6.1,5
3,30105,2.1,5
3,156,42,5
3,341157,30,5
4,16129,0,6
4,674730,0,6
4,1254730,0,6
4,85185,29,6
4,32584,0,6
4,217730,0,6
