@relation LinearRegression

@attribute Reviews numeric
@attribute Rating numeric

@data
159,4.1
967,3.9
87510,4.7
215644,4.5
967,4.3
167,4.4
178,3.8
36815,4.1
13791,4.4
121,4.7
13880,4.4
8788,4.4
44829,4.2
4326,4.6
1518,4.4
55,3.2
3632,4.7
27,4.5
194216,4.3
224399,4.6
450,4
654,4.1
7699,4.7
118,4.7
192,4.8
20260,4.7
203,4.1
136,3.9
223,4.1
1120,4.2
227,4.1
5035,4.5
1015,4.2
353,4.7
564,3.8
8145,4.7
36639,4.1
158,4.7
591,4
117,4.2
176,4.5
295221,4.4
2206,3.8
26,4.2
174531,4.7
1070,4.6
85,4.2
845,4.3
367,4.2
1598,4
284,3.8
17057,4.6
129,3.9
542,4.3
10479,4.9
805,4.4
129,4.2
1403,4
3971,3.9
534,4.6
7774,4.9
38846,4.3
2431,4.6
6090,4.9
295,3.9
190,4
40211,4.3
356,3.9
52530,4.2
116986,4.8
1379,3.6
271920,4.2
736,4.8
7021,4.8
197,4.6
737,4.5
3574,4.3
994,4.5
197136,4.9
142,3.9
15168,4.4
2155,4
138,4.3
5414,3.7
21777,4.4
348,4.3
250,3.2
13372,4.6
7880,4.6
3617,4.5
4806,3.7
65786,4.6
31433,4.6
5097,4.6
1754,4
2680,4.4
1288,4
18900,4.7
49790,4.9
1150,4.7
1739,3.9
32090,3.9
2225,4.2
4369,4.6
8572,4.3
964,4.7
42050,4.7
104,4.8
17934,4.2
601,4.3
36,4.5
187,4.1
30,4.2
134,4.5
74,4.4
113715,4
3595,4.1
9315,4.1
75,4.4
38,4.6
26834,4.5
2277,3.9
2280,4.4
184,4.6
9,3.8
364,4
18,4.3
473,4.5
66,4.1
3871,3.7
257,4.7
62,4.2
2914724,4.6
1857,4.5
4478,4.6
577550,4.4
814080,4.2
246315,4.5
454060,4.5
155446,4.5
418,4.5
22486,4.4
203130,4.5
1435,4.6
116507,4.8
1433233,3.9
90468,4.6
860,4.2
363934,4.1
967,4.7
87873,4.2
17506,4.3
1862,3.3
2084,4.6
47303,4.8
19080,4.7
85842,4.1
7831,4.6
91615,4.1
4620,4.6
21336,4.7
26875,4.5
1778,3.9
2709,4.4
64513,4.3
8342,4.2
527,4.5
1322,4.4
1680,3.4
2739,4.9
1065,4.6
233757,4.4
8788,4.4
51269,4.4
30105,4.4
156,3.5
341157,4.4
16129,4.1
674730,4.3
1254730,4.4
85185,4.3
32584,4.3
217730,4.1
70991,4.4
1002861,4.3
16589,3.9
148945,4.8
4458,4.5
62272,4.4
8941,4
46353,4.3
1279184,4
88073,4.2
67000,4.5
159872,4.2
30847,4.2
188841,4.6
11622,4.1
95912,4.6
4034,3.1
45964,3.9
14955,4.3
6903,4.1
31614,4.4
23055,4.1
19023,4.1
207372,4.5
1225,4.4
380837,4.4
10600,4.3
74359,4.4
822,4.6
80805,4.2
2287,4.4
4162,4.7
14760,3.8
23243,3.9
8978,4.3
80805,4.2
42492,4.4
286897,4.7
103755,4.5
46505,4.2
11442,4.7
10295,4.8
159872,4.2
296,4.2
29313,4.3
70991,4.4
51507,4.4
1802,4.1
1383,3.8
23175,4.3
5868,3.8
2111,3.5
5448,4.1
4159,4.6
20815,4.3
78662,4.5
7149,4.1
3079,4.5
5800,4.6
6989,4
16422,4.2
108741,4.4
31614,4.4
624,4
1661,4.2
97702,4.2
308,4.1
6989,4
5211,3.8
1058,3.9
78172,3.9
159872,4.2
296,4.2
29313,4.3
70991,4.4
51507,4.4
1802,4.1
1383,3.8
23175,4.3
5868,3.8
2111,3.5
5448,4.1
4159,4.6
20815,4.3
78662,4.5
7149,4.1
3079,4.5
5800,4.6
6989,4
16422,4.2
8978,4.3
80804,4.2
42492,4.4
286897,4.7
103755,4.5
46505,4.2
11442,4.7
10295,4.8
217730,4.1
1002859,4.3
51510,4.4
413,4.5
23175,4.3
1013635,4.5
24005,4.6
57106,4.7
2249,4.7
516,4.8
834,3.9
1010,4.1
238970,4.4
302,4.6
438,4.5
73,4.7
39,4.4
144,4.5
2181,3.9
93965,3.2
1446,3.2
12088,4.1
314,4.5
25671,4.2
15194,4.2
22551,3.7
29839,4.5
279,4.6
564387,4.5
1677,4.7
757,4.4
115,3.5
125,3.3
9952,4.5
18814,4.4
21,4.2
15,5
51981,4.4
3596,4.7
1006,4.4
5968,4.4
4895,4.6
56642847,4
69119316,4.4
125257,4.3
9642995,4.3
1429035,4.4
4604324,4.3
3419249,4
11334799,4.3
158679,4.3
3075028,4.4
4187998,4.3
659395,4.3
4785892,4.3
66602,4.3
30209,4.3
36901,4
5149854,4.5
192948,4.3
99559,3.7
437674,4.5
13698,3.9
2473509,4.4
20769,3.6
36880,4.4
171031,4.2
63543,4.4
45487,4.1
615381,4.4
2451083,4.3
33053,4.2
5387333,4.2
3648120,4.4
136662,4.4
42370,3.9
781810,4.2
3128250,4.4
2083237,4.6
541389,4.3
46702,4.3
2939,4.4
13761,3.7
258556,4.3
40751,3.9
17712922,4.5
25021,3.7
27187,4.3
69119316,4.4
56646578,4
4785988,4.3
122498,4
11334973,4.3
3419433,4
132014,4.1
83239,4.2
594728,4.2
5387446,4.2
10484169,4.1
3128509,4.4
2451093,4.3
171031,4.2
2876500,4.4
781810,4.2
28238,4.1
335646,4.3
350154,4.3
349384,4.5
346982,4.3
244863,4.2
10790289,4.2
330761,4.5
37320,4.3
12842860,4.3
2546527,4.3
36893,4.4
15880,4.2
346980,4.3
9643041,4.3
3075118,4.4
2264916,4.6
541389,4.3
2473693,4.4
42925,4.2
5150471,4.5
2511130,4.5
3648480,4.4
17714850,4.5
13100,4.1
27156,4.2
55098,4.1
1133501,4.3
12578,4.1
10965,4.2
18247,4
190613,4.2
125232,4.2
83239,4.2
11334973,4.3
72065,4.3
27540,4.4
104990,4.2
177703,4.4
