@relation knn

@attribute Marital numeric
@attribute Age numeric
@attribute Balance numeric
@attribute NoOfContacts numeric
@attribute CallDurationMinutes numeric

@data
2,32,1218,2,1
1,32,1156,5,3
2,29,637,1,5
2,25,373,2,13
1,30,2694,1,3
2,32,1625,1,13
2,37,1000,1,3
0,35,538,4,1
1,30,187,1,1
1,30,3,2,5
2,27,0,1,3
1,53,-462,1,7
1,44,2776,1,11
0,38,2674,2,2
2,25,2022,8,4
2,61,2,1,2
2,34,69,3,1
1,46,7331,4,10
1,49,2039,1,7
1,50,82,1,7
1,57,773,8,1
1,80,8304,3,10
2,31,0,2,3
1,63,2896,1,5
1,60,824,1,2
1,29,900,2,4
1,54,3859,3,1
0,45,0,3,4
1,34,-62,3,1
1,42,832,14,0
1,54,0,3,12
2,32,6981,1,2
2,57,842,3,4
0,36,1057,2,6
2,34,1698,7,0
1,39,300,1,8
1,31,664,3,16
1,33,0,5,0
0,41,138,3,10
1,35,216,3,1
1,32,3935,2,2
1,40,327,1,2
2,35,2707,1,11
1,40,2574,1,7
1,60,70,1,0
2,35,0,3,1
0,42,283,1,12
0,79,79,2,18
2,46,13,4,1
0,33,464,4,3
0,54,0,1,4
1,46,17,1,1
1,47,4420,1,7
1,78,3208,3,5
1,31,326,1,2
1,39,52,3,23
1,31,457,1,4
0,46,1187,1,1
2,34,6013,1,10
1,52,5091,1,5
0,36,0,4,1
1,39,11887,2,19
2,18,608,1,4
1,60,-46,2,2
2,36,0,4,16
1,57,473,1,4
2,28,1955,1,0
1,30,860,1,3
1,41,2689,1,2
1,58,3768,1,5
1,23,66,2,23
1,29,494,2,5
2,25,1298,7,3
1,39,0,3,3
0,45,0,4,0
0,55,3450,1,2
1,32,903,1,3
1,36,722,1,5
2,34,11350,1,2
2,39,556,1,5
2,49,716,3,20
1,37,143,6,0
1,47,802,2,4
2,49,25824,1,1
1,49,518,2,31
0,34,0,1,4
1,40,-94,1,3
1,33,210,2,20
2,40,60,3,7
2,41,663,1,20
1,56,830,1,20
2,33,-147,2,10
0,43,6,4,1
0,46,1263,2,3
1,39,293,3,2
1,44,446,12,1
0,48,657,2,4
2,39,48,1,8
1,46,3969,5,0
2,19,103,2,2
1,36,753,4,1
