@relation linearReg

@attribute NoOfContacts numeric
@attribute LastContactDay numeric

@data
2,28
5,26
1,3
2,11
1,3
1,22
1,17
4,12
1,18
2,12
1,1
1,29
1,27
2,19
8,29
1,12
3,6
4,11
1,6
1,5
8,18
3,8
2,21
1,1
1,9
2,17
3,20
3,21
3,16
14,20
3,30
1,2
3,13
2,5
7,27
1,14
3,21
5,30
3,18
3,17
2,29
1,29
1,5
1,15
1,21
3,3
1,23
2,9
4,2
4,4
1,16
1,17
1,20
3,20
1,29
3,2
1,21
1,13
1,18
1,26
4,28
2,18
1,12
2,23
4,15
1,1
1,29
1,20
1,15
1,18
2,7
2,26
7,2
3,29
4,27
1,10
1,23
1,30
1,15
1,29
3,15
6,27
2,12
1,17
2,29
1,10
1,7
2,13
3,15
1,24
1,6
2,30
4,27
2,21
3,23
12,25
2,29
1,3
5,7
2,18
4,16
2,13
1,19
2,4
1,17
1,4
1,2
2,20
1,25
4,14
4,7
2,2
4,28
2,2
3,26
1,30
4,30
5,4
1,10
5,28
1,6
2,30
1,9
2,20
2,15
5,10
2,22
2,20
1,21
2,19
3,9
1,28
1,13
1,16
1,9
1,20
1,21
1,3
1,14
3,9
2,12
1,4
3,28
1,17
2,29
1,13
3,29
1,8
2,9
1,15
4,27
1,12
1,30
2,2
3,12
1,4
1,3
2,21
1,19
1,13
2,27
4,19
4,20
3,15
6,20
1,9
2,9
2,22
5,20
3,3
7,31
1,21
1,18
4,16
8,28
3,9
1,13
3,8
1,29
1,26
1,6
4,7
1,4
1,17
1,14
1,25
3,11
1,1
1,5
11,28
3,15
4,20
1,18
1,9
2,29
1,18
2,7
2,21
1,16
1,15
4,14
3,11
2,7
4,12
2,14
3,30
1,28
1,9
1,30
1,18
5,16
2,17
2,20
5,31
2,5
3,6
1,4
2,29
2,3
1,6
2,10
3,15
1,10
1,13
2,30
1,18
1,18
1,15
3,8
4,3
1,19
1,10
1,23
5,18
2,1
1,20
2,17
12,12
3,8
1,27
3,19
1,19
1,19
3,5
1,4
3,17
1,30
2,21
2,26
2,8
11,11
2,30
5,12
2,7
25,31
2,24
2,8
2,23
11,16
2,14
2,19
1,23
1,24
1,10
11,19
3,2
1,15
5,30
1,6
2,6
3,2
1,2
1,19
2,10
4,19
2,20
4,16
1,5
1,21
1,9
3,6
2,30
1,9
1,8
1,12
2,15
2,14
3,17
2,3
3,31
6,23
1,20
1,14
1,20
2,20
2,28
1,16
1,5
1,26
1,18
1,5
2,26
2,20
3,23
1,7
2,21
2,6
1,11
4,12
3,5
1,2
1,28
2,21
1,2
6,27
1,17
1,28
1,20
2,20
1,6
1,12
2,5
2,22
3,20
1,19
3,30
1,15
1,20
1,15
3,27
3,16
2,17
6,18
3,11
7,20
2,2
2,9
1,13
5,4
6,15
3,20
2,9
2,6
1,10
2,26
5,18
1,13
1,20
3,21
2,30
2,4
2,18
7,14
4,12
7,20
1,16
3,18
1,8
1,2
11,22
3,8
1,28
2,16
4,25
4,13
34,31
3,13
1,4
1,4
4,10
1,25
1,30
1,16
1,5
2,9
1,28
12,20
2,30
4,19
2,7
2,2
1,20
2,17
8,21
2,13
6,8
5,15
1,5
1,19
3,9
2,18
2,14
1,13
3,2
1,14
2,20
4,23
2,30
1,20
1,21
1,4
1,13
3,8
1,6
1,16
2,27
2,21
3,7
2,7
1,15
4,5
1,21
1,18
11,21
2,17
1,6
1,21
2,6
1,30
1,4
1,21
3,21
1,12
3,11
2,14
4,13
1,4
4,12
4,8
1,3
2,5
1,25
3,15
2,26
2,1
2,20
2,8
5,20
3,26
11,29
3,23
3,14
7,12
1,21
2,12
9,4
2,12
2,17
2,8
1,5
2,15
2,14
1,18
1,7
1,19
2,28
1,13
3,21
3,13
2,30
1,22
2,13
1,12
2,4
2,6
4,5
3,16
2,14
1,10
1,20
1,10
4,9
2,24
2,14
2,14
6,21
3,13
2,22
2,21
4,21
1,6
2,16
1,3
3,27
1,19
4,12
12,22
1,20
3,18
1,4
3,10
1,16
4,3
1,13
26,20
4,9
1,22
24,28
4,22
3,26
2,12
2,18
4,23
3,12
1,6
1,8
1,2
2,21
1,7
1,16
2,25
3,5
2,4
1,10
1,8
4,30
1,11
3,31
1,15
2,19
1,5
5,7
1,15
3,18
4,11
11,14
1,13
1,27
1,8
5,17
2,30
4,7
1,25
2,30
1,21
2,17
1,19
1,14
3,21
1,19
1,17
2,15
3,30
1,25
3,14
1,25
4,9
4,4
1,10
6,7
1,15
3,20
1,12
3,30
1,16
5,22
2,18
10,18
10,25
3,27
1,29
1,13
1,5
1,19
3,2
1,13
6,9
1,3
1,5
7,20
3,17
3,5
1,15
1,23
4,14
1,9
3,29
2,1
2,28
2,23
2,4
1,4
1,18
4,19
3,7
1,17
3,30
2,21
10,20
1,29
2,11
1,17
1,2
1,19
1,29
2,26
2,17
1,18
1,17
1,22
1,23
4,15
2,17
6,15
2,13
2,27
2,17
1,13
4,18
14,16
4,29
1,8
3,20
10,29
1,12
2,9
2,20
1,4
1,12
2,13
2,31
1,5
4,21
1,15
1,3
1,30
4,29
3,2
1,3
1,12
1,21
3,2
1,4
2,17
1,8
1,24
2,18
1,22
2,26
1,18
1,27
2,30
3,28
1,3
1,18
1,24
3,15
4,26
2,7
3,7
10,20
1,2
1,25
2,30
3,8
2,7
3,9
3,20
3,2
3,16
2,15
3,28
2,16
3,28
4,16
1,7
1,2
2,5
1,17
1,11
1,13
2,19
2,19
24,24
1,5
1,14
1,20
3,19
8,26
3,27
1,20
1,22
2,18
3,28
1,3
2,15
2,12
4,25
8,11
1,4
2,6
1,7
7,20
1,16
1,15
2,7
4,31
2,4
4,9
2,20
1,7
2,7
1,2
1,3
2,8
2,24
1,12
6,3
1,9
38,26
1,8
1,16
3,16
4,14
1,17
1,4
1,15
3,28
2,3
1,3
1,6
1,11
2,26
1,12
2,25
2,2
1,19
2,19
2,17
6,12
2,2
1,7
2,13
1,9
2,15
2,19
2,7
2,31
2,13
8,2
2,28
1,28
2,8
2,10
1,5
2,22
7,6
3,11
3,19
1,20
1,9
2,19
1,12
3,21
1,15
2,8
1,27
1,12
1,16
1,13
3,18
3,25
1,13
2,4
2,8
1,3
2,29
2,23
1,27
2,28
2,9
1,12
1,10
1,9
4,20
1,2
8,25
1,1
2,17
1,20
1,15
4,29
5,3
1,6
1,4
2,4
1,21
6,25
1,17
1,30
2,9
2,13
5,9
1,14
6,26
2,18
1,30
2,24
2,1
2,19
1,16
1,21
2,24
1,16
1,21
1,13
3,21
2,11
1,13
1,20
2,24
1,18
4,12
1,6
2,14
6,11
1,2
2,18
1,30
7,5
1,21
3,17
3,23
1,12
8,12
1,25
2,18
1,17
2,12
1,24
1,30
1,18
1,15
3,19
1,4
1,26
1,28
4,20
1,20
3,18
1,30
1,7
1,23
7,18
2,29
2,20
4,2
2,28
1,7
1,12
2,3
4,23
6,28
2,30
1,30
2,2
3,15
2,19
3,15
1,12
3,19
4,22
3,29
1,15
1,15
4,20
4,30
2,20
5,26
5,25
2,5
2,7
1,25
1,5
2,18
5,18
5,25
2,8
1,26
2,25
5,14
4,13
10,31
1,17
1,27
1,19
3,30
3,17
3,14
1,8
20,30
3,26
