@relation svm

@attribute Balance numeric
@attribute CarLoan {N,Y}

@data
1218,N
1156,N
637,N
373,N
2694,N
1625,N
1000,N
538,N
187,N
3,Y
0,N
-462,N
2776,N
2674,N
2022,N
2,N
69,N
7331,N
2039,N
82,N
773,Y
8304,N
0,N
2896,N
824,N
900,N
3859,Y
0,N
-62,N
832,N
0,N
6981,N
842,N
1057,N
1698,N
300,N
664,Y
0,N
138,N
216,Y
3935,N
327,N
2707,N
2574,N
70,N
0,N
283,N
79,N
13,N
464,N
0,N
17,N
4420,Y
3208,N
326,Y
52,N
457,N
1187,Y
6013,N
5091,N
0,N
11887,N
608,N
-46,N
0,N
473,N
1955,N
860,N
2689,N
3768,N
66,N
494,N
1298,N
0,N
0,N
3450,N
903,N
722,N
11350,N
556,N
716,N
143,N
802,Y
25824,N
518,N
0,N
-94,Y
210,N
60,N
663,N
830,Y
-147,N
6,N
1263,N
293,N
446,N
657,Y
48,N
3969,N
103,N
753,N
3285,N
9299,N
9367,N
7162,N
1699,N
437,N
69,N
388,N
339,Y
49,N
3370,N
-366,N
2667,N
899,N
1331,N
4151,Y
569,N
1514,N
0,N
6101,N
461,N
2331,N
519,N
3109,N
11,Y
53,N
699,Y
3300,N
251,N
318,Y
2724,N
5157,N
1762,N
343,Y
368,N
1968,N
302,N
60,N
0,N
3092,Y
1058,N
53,Y
-402,N
3904,N
1123,N
159,N
5,Y
3289,N
391,N
854,N
7111,N
0,N
3109,N
129,N
569,N
4466,N
1521,Y
8038,N
116,N
641,N
2020,N
208,N
52587,N
2561,N
82,N
729,Y
273,N
2840,N
253,Y
2921,N
16178,N
0,N
557,N
4348,N
683,N
1579,N
2827,N
0,N
108,N
243,Y
-27,Y
205,N
0,N
497,N
985,N
3739,N
6784,N
-9,Y
0,N
113,N
118,N
595,N
0,N
3143,N
53,N
1447,Y
6385,N
3186,N
290,N
8163,N
13551,N
431,N
711,N
0,N
7108,Y
4,N
3658,N
699,N
8491,N
423,Y
0,N
790,N
341,N
582,N
623,N
1045,N
0,N
281,N
-295,N
160,N
134,Y
472,N
-95,N
0,N
179,Y
0,N
641,N
3041,N
502,N
2531,N
218,Y
11115,N
-119,N
158,N
70,N
3735,N
8553,N
84,N
942,N
68,Y
459,N
1070,N
3400,N
1730,N
6993,N
1529,N
-547,N
168,N
891,N
-119,N
1181,N
2630,N
2696,N
0,N
-130,N
-244,N
711,N
184,Y
1830,N
649,N
480,Y
720,Y
-33,Y
762,N
1415,N
14,N
742,N
0,N
5,N
114,N
3249,N
440,N
201,N
1090,N
-584,N
2055,N
697,N
120,N
1,N
76,N
-333,Y
1382,N
804,Y
87,N
514,N
0,N
4951,N
1160,N
0,N
799,Y
105,N
166,N
903,N
0,Y
64,N
457,N
42,N
220,N
279,N
275,Y
0,N
2344,N
8,N
3737,N
147,N
1631,N
1779,N
933,N
394,N
1227,N
805,N
722,N
0,N
46,N
555,Y
1,N
3,N
